StockCode,Description,ABC_Class,XYZ_Class,ABC_XYZ,Daily_Demand,Avg_Price,Annual_Demand,EOQ,Safety_Stock,Reorder_Point,Max_Stock,Holding_Cost,Product_Lifespan_Days,DeadStock_Score,DeadStock_Risk,Days_Since_Last_Sale,Num_Transactions,Total_Revenue
22782,SET 3 WICKER STORAGE BASKETS ,A,Z,AZ,0.4205298013245033,19.985714285714284,153.4933774834437,62.0,18.0,21.0,83.0,3.997142857142857,406,44.9,Medium,2,84,3712.2999999999997
22797,CHEST OF DRAWERS GINGHAM HEART ,A,Z,AZ,0.3675496688741722,16.984719999999996,134.15562913907286,63.0,12.0,15.0,78.0,3.3969439999999995,416,44.4,Medium,2,125,3711.24
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,A,Z,AZ,1.6605960264900663,3.7835449735449735,606.1175496688742,283.0,43.0,55.0,338.0,0.7567089947089948,413,43.0,Medium,0,189,3709.63
21714,CITRONELLA CANDLE GARDEN POT,A,Z,AZ,5.55794701986755,1.2383024691358024,2028.6506622516556,905.0,112.0,151.0,1056.0,0.2476604938271605,731,47.6,Medium,1,322,3707.37
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,A,Z,AZ,3.998344370860927,1.6381856540084387,1459.3956953642385,667.0,117.0,145.0,812.0,0.32763713080168777,496,62.6,High,242,232,3703.95
21810,CHRISTMAS HANGING STAR WITH BELL,A,Z,AZ,10.399006622516556,0.7628015564202334,3795.637417218543,1577.0,149.0,222.0,1799.0,0.15256031128404668,738,42.6,Medium,0,241,3698.65
23309,SET OF 60 I LOVE LONDON CAKE CASES ,A,Z,AZ,12.698675496688741,0.5688925081433225,4635.016556291391,2018.0,268.0,357.0,2375.0,0.1137785016286645,190,26.3,Low,0,294,3697.7
21495,SKULLS AND CROSSBONES WRAP,A,Y,AY,15.008278145695364,0.41797752808988764,5478.021523178808,2560.0,148.0,253.0,2813.0,0.08359550561797753,558,36.9,Medium,0,267,3695.3
23351,ROLL WRAP 50'S CHRISTMAS,A,Z,AZ,5.056291390728477,1.2438909090909092,1845.546357615894,861.0,55.0,90.0,951.0,0.24877818181818184,127,17.4,Low,0,271,3694.02
20981,12 PENCILS TALL TUBE WOODLAND,A,Z,AZ,7.336092715231788,0.8490909090909091,2677.6738410596026,1256.0,75.0,126.0,1382.0,0.16981818181818184,738,39.4,Medium,0,427,3691.47
21034,REX CASH+CARRY JUMBO SHOPPER,A,Z,AZ,6.430463576158941,0.95,2347.119205298013,1111.0,9.0,54.0,1165.0,0.19,738,16.9,Low,0,1857,3689.7999999999997
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,A,Z,AZ,1.490066225165563,4.2798823529411765,543.8741721854304,252.0,30.0,40.0,292.0,0.8559764705882353,730,44.3,Medium,8,169,3689.2799999999997
21470,FLOWER VINE RAFFIA FOOD COVER,A,Z,AZ,1.673841059602649,3.782453531598513,610.9519867549668,284.0,23.0,35.0,319.0,0.7564907063197026,735,42.3,Medium,3,266,3687.1800000000003
22723,SET OF 6 HERB TINS SKETCHBOOK,A,Z,AZ,1.7450331125827814,3.7472268907563024,636.9370860927152,292.0,34.0,46.0,338.0,0.7494453781512606,361,38.5,Medium,0,235,3686.1400000000003
22272,FELTCRAFT DOLL MARIA,A,Z,AZ,2.2235099337748343,2.932,811.5811258278145,372.0,40.0,56.0,428.0,0.5864,538,54.5,Medium,201,276,3684.9100000000003
84950,ASSORTED COLOUR T-LIGHT HOLDER,A,Z,AZ,9.288079470198676,0.7336486486486486,3390.149006622517,1520.0,535.0,600.0,2120.0,0.14672972972972972,737,53.9,Medium,1,221,3677.1400000000003
85184C,S/4 VALENTINE DECOUPAGE HEART BOX,A,Z,AZ,3.2235099337748343,2.657511737089202,1176.5811258278145,470.0,77.0,100.0,570.0,0.5315023474178404,530,57.3,High,208,211,3675.55
23110,PARISIENNE KEY CABINET ,A,Z,AZ,1.096026490066225,5.713636363636364,400.04966887417214,187.0,15.0,23.0,210.0,1.1427272727272728,213,26.9,Low,0,219,3673.7
21472,LADYBIRD + BEE RAFFIA FOOD COVER,A,Z,AZ,1.653973509933775,3.743248945147679,603.7003311258278,284.0,23.0,35.0,319.0,0.7486497890295358,592,48.9,Medium,146,235,3669.45
85053,FRENCH ENAMEL CANDLEHOLDER,A,Z,AZ,3.0546357615894038,2.12565371024735,1114.9420529801323,512.0,43.0,64.0,576.0,0.42513074204947005,738,42.4,Medium,0,277,3667.29
22284,HEN HOUSE DECORATION,A,Z,AZ,3.8758278145695364,1.6464285714285714,1414.6771523178809,655.0,89.0,116.0,771.0,0.3292857142857143,733,47.5,Medium,3,233,3665.25
22594,CHRISTMAS GINGHAM TREE,A,Z,AZ,7.208609271523179,0.8803780068728523,2631.1423841059604,1222.0,78.0,128.0,1350.0,0.17607560137457046,509,36.3,Medium,0,290,3661.12
22980,PANTRY SCRUBBING BRUSH,A,Z,AZ,3.7847682119205297,1.674590163934426,1381.4403973509934,642.0,58.0,84.0,726.0,0.33491803278688526,296,32.9,Medium,0,242,3656.94
21494,ROTATING LEAVES T-LIGHT HOLDER,A,Z,AZ,4.6572847682119205,1.4743724696356275,1699.908940397351,759.0,84.0,117.0,876.0,0.2948744939271255,736,44.6,Medium,0,241,3655.28
22823,CHEST NATURAL WOOD 20 DRAWERS,A,Y,AY,0.052980132450331126,117.5,19.337748344370862,9.0,4.0,4.0,13.0,23.5,386,44.1,Medium,24,18,3655.0
47580,TEA TIME DES TEA COSY,A,Z,AZ,2.5380794701986753,2.542142857142857,926.3990066225165,427.0,57.0,75.0,502.0,0.5084285714285713,737,47.9,Medium,0,263,3651.91
20675,BLUE POLKADOT BOWL,A,Z,AZ,5.158940397350993,1.2427338129496404,1883.0132450331125,870.0,79.0,115.0,985.0,0.24854676258992808,439,38.0,Medium,0,275,3649.9700000000003
21238,RED SPOTTY CUP,A,Z,AZ,7.405629139072848,0.8453698630136987,2703.0546357615895,1264.0,76.0,128.0,1392.0,0.16907397260273974,339,52.1,Medium,399,360,3649.17
21592,RETRO SPOT  CIGAR BOX MATCHES ,A,Z,AZ,5.1341059602649,1.2429629629629628,1873.9486754966886,868.0,203.0,239.0,1107.0,0.2485925925925926,343,71.6,High,396,187,3648.25
21795,SET OF 3 BLUE STRIPE BASKET,A,Z,AZ,0.7218543046357616,12.6725,263.47682119205297,102.0,163.0,168.0,270.0,2.5345,253,83.0,Critical,485,76,3632.9700000000003
22359,GLASS JAR KINGS CHOICE,A,Z,AZ,1.9619205298013245,2.96265306122449,716.1009933774834,348.0,253.0,267.0,615.0,0.592530612244898,631,55.3,High,2,147,3631.87
85049C,ROMANTIC PINKS RIBBONS ,A,Z,AZ,4.846026490066225,1.2517735042735043,1768.799668874172,841.0,38.0,72.0,913.0,0.25035470085470085,737,36.7,Medium,1,459,3630.32
22830,UTILTY CABINET WITH HOOKS,A,Z,AZ,0.2947019867549669,24.37625,107.56622516556291,47.0,109.0,111.0,158.0,4.87525,87,70.7,High,326,16,3623.2
21064,BOOM BOX SPEAKER BOYS,A,Z,AZ,1.1937086092715232,5.382075471698113,435.703642384106,201.0,170.0,178.0,379.0,1.0764150943396227,733,57.0,High,0,103,3620.65
23064,CINDERELLA CHANDELIER ,A,Z,AZ,0.36423841059602646,43.01136363636363,132.94701986754967,39.0,101.0,104.0,143.0,8.602272727272727,190,55.0,Medium,35,22,3617.6000000000004
21243,PINK  POLKADOT PLATE ,A,Z,AZ,3.7781456953642385,1.6747398843930636,1379.023178807947,642.0,95.0,121.0,763.0,0.3349479768786128,397,44.9,Medium,45,172,3614.66
22544,MINI JIGSAW SPACEBOY,A,Z,AZ,15.246688741721854,0.4150381679389313,5565.0413907284765,2589.0,239.0,346.0,2935.0,0.08300763358778626,624,41.9,Medium,0,261,3613.4
22788,BROCANTE COAT RACK,A,Z,AZ,0.7599337748344371,9.792794117647059,277.37582781456956,119.0,113.0,118.0,237.0,1.9585588235294118,242,64.8,High,176,68,3609.95
21911,GARDEN METAL SIGN ,A,Z,AZ,3.9304635761589406,1.6453307392996108,1434.6192052980134,660.0,113.0,141.0,801.0,0.32906614785992216,461,64.1,High,276,256,3609.9
21244,BLUE  SPOTTY PLATE ,A,Z,AZ,3.76158940397351,1.6780662983425416,1372.9801324503312,640.0,103.0,129.0,769.0,0.33561325966850836,307,66.6,High,431,179,3609.2799999999997
21899,"KEY FOB , GARAGE DESIGN",A,Z,AZ,9.577814569536423,0.6482692307692308,3495.9023178807947,1642.0,188.0,255.0,1897.0,0.12965384615384618,578,55.1,High,157,408,3601.73
22458,CAST IRON HOOK GARDEN FORK,A,Z,AZ,2.4619205298013247,2.5394039735099336,898.6009933774835,421.0,145.0,162.0,583.0,0.5078807947019868,412,66.5,High,233,151,3599.6099999999997
22843,BISCUIT TIN VINTAGE GREEN,A,Z,AZ,0.9486754966887417,6.695889570552148,346.2665562913907,161.0,26.0,33.0,194.0,1.3391779141104296,412,43.9,Medium,9,161,3591.73
22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,A,Z,AZ,4.882450331125828,1.2572340425531916,1782.094370860927,842.0,108.0,142.0,984.0,0.25144680851063833,418,41.7,Medium,1,182,3590.06
21913,VINTAGE SEASIDE JIGSAW PUZZLES,A,Z,AZ,1.6357615894039734,3.7739024390243903,597.0529801324503,281.0,61.0,72.0,353.0,0.754780487804878,737,53.7,Medium,1,204,3590.02
20754,RETROSPOT RED WASHING UP GLOVES,A,Z,AZ,2.986754966887417,2.0916811594202898,1090.1655629139073,510.0,45.0,66.0,576.0,0.418336231884058,420,37.8,Medium,18,341,3581.76
22398,MAGNETS PACK OF 4 SWALLOWS,A,Z,AZ,6.930463576158941,0.8960598503740648,2529.619205298013,1188.0,47.0,96.0,1284.0,0.17921197007481296,620,34.0,Medium,0,394,3573.95
23049,RECYCLED ACAPULCO MAT RED,A,Y,AY,0.7201986754966887,8.24526627218935,262.8725165562914,126.0,9.0,14.0,140.0,1.64905325443787,273,33.3,Medium,7,169,3572.75
23092,LARGE ANTIQUE WHITE PHOTO FRAME,A,Z,AZ,0.8394039735099338,7.80144,306.3824503311258,140.0,52.0,58.0,198.0,1.5602880000000001,207,47.2,Medium,0,125,3568.26
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",A,Z,AZ,7.236754966887418,0.8435611510791367,2641.4155629139073,1251.0,115.0,166.0,1417.0,0.16871223021582735,632,48.3,Medium,98,273,3563.5499999999997
21042,RED RETROSPOT APRON ,A,Z,AZ,1.054635761589404,5.934049079754601,384.9420529801325,180.0,45.0,52.0,232.0,1.1868098159509202,434,50.3,Medium,2,159,3556.15
35924,HANGING FAIRY CAKE DECORATION,A,Z,AZ,3.316225165562914,2.0211538461538465,1210.4221854304635,547.0,141.0,164.0,711.0,0.40423076923076934,722,49.2,Medium,16,100,3554.4
22704,WRAP RED APPLES ,A,Y,AY,14.321192052980132,0.41890784982935153,5227.235099337749,2498.0,125.0,225.0,2723.0,0.08378156996587031,561,35.9,Medium,0,293,3553.0
23299,FOOD COVER WITH BEADS SET 2 ,A,Z,AZ,1.6175496688741722,3.7934710743801654,590.4056291390729,279.0,56.0,67.0,346.0,0.7586942148760332,209,39.4,Medium,10,121,3545.17
84598,BOYS ALPHABET IRON ON PATCHES,A,Z,AZ,30.200331125827816,0.20609756097560974,11023.120860927153,5171.0,2207.0,2418.0,7589.0,0.04121951219512195,717,47.6,Medium,21,41,3542.61
22244,"HOOK, 3 HANGER ,MAGIC GARDEN",A,Z,AZ,3.1771523178807946,1.9308510638297873,1159.66059602649,548.0,86.0,108.0,656.0,0.3861702127659575,334,64.9,High,396,141,3533.2499999999995
20750, RED/WHITE DOT MINI CASES,A,Z,AZ,0.7913907284768212,7.811,288.8576158940397,136.0,18.0,24.0,160.0,1.5622,297,65.3,High,441,138,3528.18
21181,PLEASE ONE PERSON  METAL SIGN,A,Z,AZ,2.9586092715231787,2.0768211920529804,1079.8923841059602,510.0,113.0,134.0,644.0,0.4153642384105961,141,69.1,High,598,150,3524.7000000000003
22125,UNION JACK HOT WATER BOTTLE ,A,Z,AZ,1.0066225165562914,5.925460122699387,367.4172185430464,176.0,20.0,27.0,203.0,1.1850920245398775,723,44.6,Medium,15,157,3514.6000000000004
22497,SET OF 2 TINS VINTAGE BATHROOM ,A,Z,AZ,1.3874172185430464,4.245145631067961,506.407284768212,244.0,34.0,44.0,288.0,0.8490291262135923,674,46.7,Medium,3,205,3511.5
22080,RIBBON REEL SPOTS DESIGN ,A,Z,AZ,3.5711920529801326,1.647560975609756,1303.4850993377484,629.0,52.0,77.0,706.0,0.32951219512195123,357,58.1,High,381,244,3509.05
23236,STORAGE TIN VINTAGE DOILY ,A,Z,AZ,2.044701986754967,2.9887500000000005,746.316225165563,353.0,71.0,85.0,438.0,0.5977500000000001,125,28.5,Low,0,158,3502.15
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,A,Z,AZ,2.365894039735099,2.537671232876712,863.5513245033112,412.0,43.0,60.0,472.0,0.5075342465753424,402,52.1,Medium,214,217,3498.15
70006,LOVE HEART POCKET WARMER,A,Z,AZ,6.927152317880795,1.4014772727272726,2528.41059602649,950.0,335.0,383.0,1333.0,0.2802954545454545,738,55.2,High,0,171,3495.5
23089,GLASS BON BON JAR,A,Z,AZ,3.5347682119205297,1.7758394160583941,1290.1903973509934,603.0,151.0,176.0,779.0,0.35516788321167886,209,41.8,Medium,1,134,3495.27
21499,BLUE POLKADOT WRAP,A,Y,AY,14.362582781456954,0.4162595419847328,5242.342715231788,2509.0,142.0,243.0,2752.0,0.08325190839694657,442,34.6,Medium,1,262,3493.5
22744,MAKE YOUR OWN MONSOON CARD KIT,A,Z,AZ,2.302980132450331,2.7963320463320462,840.5877483443708,388.0,47.0,63.0,451.0,0.5592664092664092,486,42.7,Medium,0,254,3489.4900000000002
22057,CERAMIC PLATE STRAWBERRY DESIGN,A,Z,AZ,4.806291390728477,1.3855491329479768,1754.296357615894,796.0,163.0,197.0,993.0,0.2771098265895954,735,50.0,Medium,0,173,3484.35
71477,COLOURED GLASS STAR T-LIGHT HOLDER,A,Z,AZ,1.6490066225165563,3.98139534883721,601.8874172185431,275.0,188.0,200.0,475.0,0.796279069767442,25,22.3,Low,0,42,3474.88
23081,GREEN METAL BOX ARMY SUPPLIES,A,Z,AZ,0.7235099337748344,8.34018018018018,264.08112582781456,126.0,31.0,36.0,162.0,1.6680360360360362,212,41.4,Medium,0,111,3474.39
22591,CARDHOLDER GINGHAM CHRISTMAS TREE,A,Z,AZ,2.1258278145695364,2.960285714285714,775.9271523178808,362.0,58.0,73.0,435.0,0.5920571428571428,508,45.2,Medium,3,174,3474.14
22118,JOY WOODEN BLOCK LETTERS,A,Z,AZ,1.2665562913907285,4.730564516129032,462.2930463576159,221.0,51.0,60.0,281.0,0.9461129032258064,738,53.3,Medium,0,243,3466.03
23111,PARISIENNE SEWING BOX,A,Z,AZ,0.4900662251655629,12.281600000000001,178.87417218543047,85.0,11.0,14.0,99.0,2.4563200000000003,212,35.0,Medium,0,124,3464.8
22334,DINOSAUR PARTY BAG + STICKER SET,A,Z,AZ,3.6357615894039736,1.64856,1327.0529801324503,634.0,103.0,128.0,762.0,0.329712,734,51.2,Medium,2,246,3460.24
23349,ROLL WRAP VINTAGE CHRISTMAS,A,Z,AZ,4.7135761589403975,1.245,1720.455298013245,831.0,63.0,96.0,927.0,0.24900000000000003,127,18.3,Low,0,246,3450.39
84558A,3D DOG PICTURE PLAYING CARDS,A,Z,AZ,1.9983443708609272,2.947701149425287,729.3956953642385,352.0,100.0,114.0,466.0,0.5895402298850575,733,55.5,High,4,169,3445.4500000000003
23085,ANTIQUE SILVER BAUBLE LAMP  ,A,Z,AZ,0.6109271523178808,10.069230769230769,222.98841059602648,105.0,28.0,32.0,137.0,2.013846153846154,207,41.8,Medium,0,72,3437.7000000000003
23112,PARISIENNE CURIO CABINET,A,Y,AY,0.7798013245033113,7.453551912568306,284.6274834437086,138.0,10.0,15.0,153.0,1.4907103825136614,211,28.6,Low,1,183,3437.3
85206A,CREAM FELT EASTER EGG BASKET,A,Z,AZ,3.556291390728477,1.642334494773519,1298.046357615894,629.0,53.0,78.0,707.0,0.3284668989547038,471,54.7,Medium,268,283,3436.2
21992,VINTAGE PAISLEY STATIONERY SET,A,Z,AZ,3.4172185430463577,1.9305414012738855,1247.2847682119207,568.0,47.0,71.0,639.0,0.3861082802547771,714,43.4,Medium,23,308,3436.04
23130,MISTLETOE HEART WREATH GREEN,A,Z,AZ,1.3874172185430464,4.239876543209877,506.407284768212,244.0,31.0,41.0,285.0,0.8479753086419755,218,34.4,Medium,4,162,3435.62
20692,FLORAL ELEPHANT SOFT TOY,A,Z,AZ,1.455298013245033,4.177966101694915,531.183774834437,252.0,78.0,88.0,340.0,0.8355932203389831,282,75.0,High,456,116,3434.25
21743,STAR PORTABLE TABLE LIGHT ,A,Z,AZ,2.0347682119205297,2.924647887323944,742.6903973509933,356.0,58.0,72.0,428.0,0.5849295774647888,651,51.1,Medium,87,139,3433.55
23497,CLASSIC CHROME BICYCLE BELL ,A,Z,AZ,4.05794701986755,1.4393142857142858,1481.1506622516556,717.0,206.0,234.0,951.0,0.28786285714285714,42,29.9,Low,0,170,3431.35
84968B,S/16 VINTAGE IVORY CUTLERY,A,Z,AZ,0.45695364238410596,12.702631578947368,166.78807947019868,81.0,21.0,24.0,105.0,2.540526315789474,246,72.1,High,492,76,3420.0
23194,GYMKHANA TREASURE BOOK BOX,A,Z,AZ,2.698675496688742,2.2552201257861633,985.0165562913908,467.0,155.0,174.0,641.0,0.4510440251572327,281,48.7,Medium,0,156,3417.83
23535,WALL ART BICYCLE SAFETY,A,Z,AZ,1.0662251655629138,5.89611570247934,389.1721854304635,182.0,55.0,62.0,244.0,1.179223140495868,65,25.6,Low,0,120,3412.52
21041,RED SPOTTY OVEN GLOVE DOUBLE,A,Z,AZ,2.0397350993377485,2.9349624060150377,744.5033112582782,356.0,92.0,106.0,462.0,0.5869924812030075,323,72.0,High,416,130,3408.4
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,A,Y,AY,13.998344370860927,0.4177955911823647,5109.395695364238,2473.0,67.0,165.0,2638.0,0.08355911823647294,736,32.3,Medium,0,498,3396.07
23191,BUNDLE OF 3 RETRO NOTE BOOKS,A,Z,AZ,3.475165562913907,1.6760162601626014,1268.435430463576,615.0,44.0,68.0,683.0,0.3352032520325203,213,25.1,Low,0,240,3393.35
22320,BIRDS MOBILE VINTAGE DESIGN,A,Z,AZ,0.956953642384106,6.0083431952662725,349.2880794701987,170.0,24.0,31.0,201.0,1.2016686390532545,738,45.9,Medium,0,169,3390.46
22602,CHRISTMAS RETROSPOT HEART WOOD,B,Z,BZ,6.981788079470198,0.8442570281124498,2548.3526490066224,1229.0,122.0,171.0,1400.0,0.16885140562249,150,42.5,Medium,360,241,3384.77
20748,KENSINGTON COFFEE SET,B,Z,BZ,0.5943708609271523,12.162280701754385,216.94536423841058,94.0,21.0,25.0,119.0,2.4324561403508773,728,47.4,Medium,10,114,3371.25
22764,"RUSTIC WOODEN CABINET, GLASS DOORS",B,Z,BZ,0.2996688741721854,23.5275,109.37913907284768,48.0,91.0,93.0,141.0,4.7055,164,70.9,High,259,24,3362.5699999999997
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",B,Z,BZ,6.9801324503311255,0.8425572519083969,2547.7483443708607,1230.0,141.0,190.0,1420.0,0.1685114503816794,188,58.4,High,550,262,3360.0
84508A,CAMOFLAGE DESIGN TEDDY,B,Z,BZ,2.622516556291391,2.4244186046511627,957.2185430463577,444.0,462.0,480.0,924.0,0.4848837209302326,210,86.8,Critical,528,42,3358.8
21717,EASTER TIN BUCKET,B,Z,BZ,2.326158940397351,2.5059440559440556,849.0480132450332,412.0,54.0,70.0,482.0,0.5011888111888111,473,57.9,High,262,143,3355.95
21238,RED RETROSPOT CUP,B,Z,BZ,6.912251655629139,0.8473546511627907,2522.9718543046356,1220.0,81.0,129.0,1349.0,0.16947093023255816,434,34.5,Medium,2,340,3355.05
22425,ENAMEL COLANDER CREAM,B,Z,BZ,1.1456953642384107,4.953360995850622,418.1788079470199,205.0,14.0,22.0,227.0,0.9906721991701245,568,38.7,Medium,1,240,3352.01
23032,DRAWER KNOB CRACKLE GLAZE IVORY,B,Z,BZ,3.437086092715232,1.6455801104972374,1254.5364238410596,617.0,64.0,88.0,705.0,0.3291160220994475,166,27.7,Low,12,177,3348.6
22047,EMPIRE GIFT WRAP,B,Z,BZ,13.617549668874172,0.4179230769230769,4970.4056291390725,2439.0,160.0,255.0,2694.0,0.08358461538461538,734,40.7,Medium,3,260,3340.5
48197,DOOR MAT BIRD ON THE WIRE,B,Z,BZ,0.9304635761589404,7.0340495867768595,339.61920529801324,155.0,60.0,67.0,222.0,1.406809917355372,213,79.8,Critical,525,121,3337.8
23294,SET OF 6 SNACK LOAF BAKING CASES,B,Z,BZ,7.059602649006623,0.8247796610169491,2576.754966887417,1250.0,149.0,198.0,1448.0,0.16495593220338983,149,25.7,Low,1,291,3336.94
22478,BIRDHOUSE GARDEN MARKER ,B,Z,BZ,4.200331125827814,1.2521296296296296,1533.120860927152,782.0,150.0,179.0,961.0,0.25042592592592594,642,52.7,Medium,2,216,3336.85
23552,BICYCLE PUNCTURE REPAIR KIT ,B,Z,BZ,2.8642384105960264,2.062181818181818,1045.4470198675497,503.0,263.0,283.0,786.0,0.41243636363636366,15,29.9,Low,0,103,3336.7200000000003
22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,B,Z,BZ,2.1672185430463577,2.8716296296296298,791.0347682119206,371.0,43.0,58.0,429.0,0.574325925925926,486,42.4,Medium,0,263,3334.51
47505,MINATURE COLOURED GARDENING SET,B,Z,BZ,1.185430463576159,4.848456790123457,432.682119205298,211.0,25.0,33.0,244.0,0.9696913580246914,189,64.5,High,550,160,3331.7000000000003
22777,GLASS CLOCHE LARGE,B,Z,BZ,0.695364238410596,8.386666666666667,253.80794701986756,123.0,66.0,71.0,194.0,1.6773333333333333,273,60.7,High,140,75,3324.3500000000004
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,B,Z,BZ,1.349337748344371,4.215179856115108,492.5082781456954,242.0,40.0,49.0,291.0,0.8430359712230215,722,47.5,Medium,15,137,3320.31
23189,SET OF 12 FORK CANDLES,B,Z,BZ,2.01158940397351,2.858421052631579,734.2301324503312,358.0,64.0,78.0,436.0,0.5716842105263158,127,31.2,Medium,0,113,3319.35
22314,OFFICE MUG WARMER CHOC+BLUE,B,Z,BZ,1.6887417218543046,3.553567567567568,616.3907284768212,294.0,30.0,42.0,336.0,0.7107135135135136,737,43.4,Medium,0,180,3315.5400000000004
23210,WHITE ROCKING HORSE HAND PAINTED,B,Z,BZ,4.552980132450331,1.2435975609756096,1661.837748344371,817.0,101.0,133.0,950.0,0.24871951219512192,191,32.9,Medium,0,154,3311.5
22445,PENCIL CASE LIFE IS BEAUTIFUL,B,Z,BZ,1.8841059602649006,2.9947706422018348,687.6986754966887,339.0,27.0,40.0,379.0,0.598954128440367,631,41.2,Medium,0,208,3311.3
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,B,Z,BZ,9.079470198675496,0.701937984496124,3314.006622516556,1536.0,72.0,136.0,1672.0,0.1403875968992248,738,36.4,Medium,0,509,3304.59
21067,VINTAGE RED TEATIME MUG,B,Z,BZ,7.478476821192053,1.093756906077348,2729.6440397350993,1117.0,332.0,384.0,1501.0,0.2187513812154696,672,58.4,High,65,180,3302.7200000000003
23571,TRADITIONAL NAUGHTS & CROSSES,B,Z,BZ,3.3410596026490067,1.6490950226244343,1219.4867549668875,608.0,48.0,71.0,679.0,0.3298190045248869,49,17.9,Low,0,216,3300.9
21500,PINK POLKADOT WRAP ,B,Y,BY,13.451986754966887,0.4165384615384615,4909.975165562913,2428.0,116.0,210.0,2638.0,0.0833076923076923,438,33.9,Medium,4,260,3298.5
23156,SET OF 5 MINI GROCERY MAGNETS,B,Z,BZ,2.7003311258278146,2.0946236559139786,985.6208609271523,485.0,69.0,88.0,573.0,0.4189247311827957,259,37.6,Medium,0,184,3297.2200000000003
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,B,Z,BZ,2.5397350993377485,2.5075,927.0033112582782,430.0,122.0,140.0,570.0,0.5015,718,56.1,High,21,159,3293.7
22962,JAM JAR WITH PINK LID,B,Z,BZ,6.855960264900662,0.8439534883720929,2502.4254966887415,1218.0,133.0,181.0,1399.0,0.1687906976744186,373,38.9,Medium,3,257,3293.65
21787,RAIN PONCHO WITH RED SPOTS,B,Z,BZ,7.387417218543046,0.8281512605042016,2696.407284768212,1276.0,299.0,351.0,1627.0,0.16563025210084034,221,65.5,High,402,118,3288.7
21556,CERAMIC STRAWBERRY MONEY BOX,B,Z,BZ,2.2682119205298013,2.5381355932203387,827.8973509933775,404.0,145.0,161.0,565.0,0.5076271186440677,722,56.0,High,16,174,3281.1
23091,ZINC HERB GARDEN CONTAINER,B,Z,BZ,0.8857615894039735,6.293191489361702,323.30298013245033,160.0,14.0,20.0,180.0,1.2586382978723405,184,28.8,Low,28,187,3279.82
22536,MAGIC DRAWING SLATE PURDEY,B,Z,BZ,13.870860927152318,0.41618012422360245,5062.864238410596,2466.0,270.0,367.0,2833.0,0.0832360248447205,621,45.6,Medium,0,313,3265.56
23009,I LOVE LONDON BABY GIFT SET,B,Z,BZ,0.34602649006622516,16.425409836065572,126.29966887417218,62.0,19.0,21.0,83.0,3.285081967213115,273,44.1,Medium,1,61,3262.5499999999997
22807,SET OF 6 T-LIGHTS TOADSTOOLS,B,Z,BZ,1.9735099337748345,2.850744680851064,720.3311258278146,355.0,39.0,53.0,408.0,0.5701489361702129,445,41.0,Medium,0,183,3257.0400000000004
23332,IVORY WICKER HEART LARGE,B,Z,BZ,3.2764900662251657,1.6485507246376812,1195.9188741721855,602.0,32.0,55.0,657.0,0.32971014492753625,122,16.8,Low,1,267,3255.75
22778,GLASS CLOCHE SMALL,B,Z,BZ,1.4735099337748345,3.8861073825503354,537.8311258278146,263.0,37.0,47.0,310.0,0.7772214765100671,403,43.2,Medium,15,143,3255.66
21902,"KEY FOB , FRONT  DOOR ",B,Z,BZ,8.650662251655628,0.6598584905660378,3157.491721854304,1547.0,184.0,245.0,1792.0,0.13197169811320758,738,48.8,Medium,0,408,3244.59
22603,CHRISTMAS RETROSPOT TREE WOOD,B,Z,BZ,6.538079470198675,0.8647249190938511,2386.3990066225165,1175.0,103.0,149.0,1324.0,0.17294498381877021,511,40.3,Medium,0,301,3239.65
21559,STRAWBERRY LUNCHBOX WITH CUTLERY,B,Z,BZ,2.3211920529801326,2.521153846153846,847.2350993377485,410.0,110.0,126.0,536.0,0.5042307692307693,189,75.3,Critical,548,153,3236.7
22355,"CHARLOTTE BAG , SUKI DESIGN",B,Z,BZ,6.741721854304636,0.8366666666666667,2460.728476821192,1213.0,101.0,148.0,1361.0,0.16733333333333333,197,57.5,High,541,234,3233.7
84352,SILVER CHRISTMAS TREE BAUBLE STAND ,B,Y,BY,0.32781456953642385,16.72966101694915,119.65231788079471,60.0,6.0,8.0,68.0,3.3459322033898307,660,46.5,Medium,78,118,3232.1
20983,12 PENCILS TALL TUBE RED RETROSPOT,B,Z,BZ,6.302980132450331,0.8496275071633237,2300.587748344371,1164.0,62.0,106.0,1270.0,0.16992550143266474,438,33.2,Medium,1,336,3229.71
84580,MOUSE TOY WITH PINK T-SHIRT,B,Y,BY,1.423841059602649,3.755956112852665,519.7019867549668,263.0,8.0,18.0,281.0,0.7511912225705331,735,36.0,Medium,3,312,3228.8
